MID	NAME	ID1	ID2	ID3	PARTY1	PARTY2	PARTY3	PARTY1N	PARTY2N	PARTY3N	GMP12	X12	Y12	CLA12_O	X12_O	Y12_O	GMP22	X22	Y22	CLA22_O	X22_O	Y22_O	GMP32	X32	Y32	CLA32_O	X32_O	Y32_O	DIM1PL	DIM2PL	CLA_PO	X_PO	Y_PO	SCAL7121	SCAL7122	SCAL7111	SCAL7112	SCALE781	SCALE782	SCALE751	SCALE752	SCALE741	SCALE742	SCA7101	SCA7102	SCA7103	SCA731	SCA732	SCA771	SCA772	SCA761	SCA762	SCA791	SCA792	MORICE
984	"Ranoux"			511	"Not seated"	"Not seated"	"Communiste"	"Not seated"	"Not Seated"	"Communist"													.992	-.843	-.539	1	-1.208443	-.3879504	.766	0	1	.253	.826																						
985	"Raset-A"	561			"Not seated"	"Not seated"	"Not seated"	"Not seated"	"Not Seated"	"Not Seated"																																													
986	"Rastel"		546		"Not seated"	"Not seated"	"Not seated"	"Not seated"	"Not Seated"	"Not Seated"							.755	.629	.552	.917	.268128	.1721491							-.459	-.177	.944	.065	-.403						0																
987	"Raulin- Lab"	562			"UDSR"	"Not seated"	"Not seated"	"Radical"	"Not Seated"	"Not Seated"	.631	.285	.328	.872	-.1141536	1.380221													-.075	.477	.872	.002	-.102																3	3					
988	"Raveloson"		547		"Not seated"	"Non Inscrit"	"Not seated"	"Not seated"	"Radical"	"Not Seated"							.79	.677	.36	.936	.277248	.1058114							-.283	.136	.92	.015	-.23					2	2																
989	"Ravoahanzy"	563			"Not seated"	"Not seated"	"Not seated"	"Not seated"	"Not Seated"	"Not Seated"																																													
990	"Raymond-L."		548	512	"Not seated"	"MRP"	"MRP"	"Not seated"	"Christian Democrat"	"Christian Democrat"							.8	.76	.4	.953	.384864	.0202851	.912	.617	.775	.979	.2987664	.2690384	-.501	-.06	.968	.031	-.502			2	3																		
991	"Rebate"		539		"Not seated"	"Communiste"	"Not seated"	"Not seated"	"Communist"	"Not Seated"							.965	-.943	-.333	1	-.997728	-.1787281							.828	-.359	1	.058	.822																						
992	"Recy"	565			"Rep. Dem. Soc."	"Not seated"	"Not seated"	"Right"	"Not Seated"	"Not Seated"	.831	.374	.625	.956	.492936	.9806832													-.528	.255	.978	.003	-.517																						
993	"Reeb"	566	549		"Socialiste"	"Socialiste"	"Not seated"	"Socialist"	"Socialist"	"Not Seated"	.928	.643	-.729	.973	.4592088	-.8146416	.946	.246	.637	1	-.663936	.216557							-.155	-.78	.989	.072	-.136																						
994	"Regaudie"		550	513	"Not seated"	"Socialiste"	"Socialiste"	"Not seated"	"Socialist"	"Socialist"							.938	.253	.615	.997	-.65664	.2033991	.951	.365	.931	1	0	.5767232	-.134	-.724	.998	.024	-.106	1	1																				
995	"Regewtl"	567			"Socialiste"	"Not seated"	"Not seated"	"Socialist"	"Not Seated"	"Not Seated"	.932	.654	-.7	.973	.4592088	-.8146416													-.136	-.823	.979	.037	-.098																						
996	"Reille-S"	568	551	514	"MRP"	"MRP"	"MRP"	"Christian Democrat"	"Christian Democrat"	"Christian Democrat"	.92	.9	.234	.991	.635628	-.12972	.689	.665	.372	.884	.384864	.0597588	.863	.604	.618	.972	.2571472	.3299808	-.526	-.099	.955	.003	-.519			0	0							2	"not dissident"	0									
997	"Renard"	569	552	515	"Communiste"	"Communiste"	"Communiste"	"Communist"	"Communist"	"Communist"	.989	-.861	-.508	1	-1.027382	-.4358592	.965	-.943	-.333	1	-.997728	-.1787281	.992	-.844	-.537	1	-1.208443	-.3879504	.802	-.334	1	.013	.805																						
998	"Renaud"		553		"Not seated"	"RPF, URAS, RS"	"Not seated"	"Not seated"	"Right"	"Not Seated"							.841	.785	-.619	.958	.461472	-.3004386							.05	.779	.942	.018	.08									0													
999	"Rencurel"	570			"Radical-Soc."	"Not seated"	"Not seated"	"Radical"	"Not Seated"	"Not Seated"	.833	.589	.296	.952	.570768	.3709992													-.502	.035	.945	.018	-.509																0	0					
1000	"Reoyo"			516	"Not seated"	"Not seated"	"Uff (Poujade)"	"Not seated"	"Not Seated"	"Poujadist"													.952	.809	-.587	1	.1248576	-1.06129	.367	.626	.993	.161	.333																						
1001	"Revillon"	571	554	517	"Radical-Soc."	"Radical-Soc."	"Radical-Soc."	"Radical"	"Radical"	"Radical"	.859	.654	.157	.967	.5733624	.3787824	.805	.661	.75	.955	.386688	.3152412	.888	.484	.444	.984	.0579696	.3374128	-.945	-.289	.921	.009	-.918					3	0										0	0				"favor school aid"	1
1002	"Rey"		555	518	"Not seated"	"Socialiste"	"MRP"	"Not seated"	"Socialist"	"Christian Democrat"							.938	.242	.549	.997	-.66576	.1979167	.906	.623	.772	.976	.2943072	.304712	-.307	-.922	.951	.015	-.264																						
1003	"Reynaud P."	573	556	519	"Rep. Dem. Soc."	"Rep. Indep."	"IPAS"	"Right"	"Right"	"Right"	.794	.487	.582	.952	.505908	.6408168	.853	.832	.296	.954	.490656	-.0005482	.777	.78	.271	.938	.497944	-.0609424	-.475	.188	.93	.01	-.473									1	0				0	1			0	0			
1004	"Reyratid"	574			"Communiste"	"Not seated"	"Not seated"	"Communist"	"Not Seated"	"Not Seated"	.989	-.861	-.508	1	-1.027382	-.4358592													.587	0	1	.469	.654																						
1005	"Reyres"			520	"Not seated"	"Not seated"	"Uff (Poujade)"	"Not seated"	"Not Seated"	"Poujadist"													.945	.791	-.612	1	.1248576	-1.022643	.21	.524	.992	.002	.245																						
1006	"Ribere"		557		"Not seated"	"RPF, URAS, RS"	"Not seated"	"Not seated"	"Gaullist"	"Not Seated"							.675	.694	-.123	.815	.357504	-.0257675							-.161	.294	.831	.003	-.187																						
1007	"Ribeyre P."	575	558		"Act. Pays Soc."	"Ind. Paysan"	"Not seated"	"Right"	"Right"	"Not Seated"	.805	.412	.817	.95	.3346776	1.081865	.852	.84	.442	.954	.479712	.0482456							-.43	.24	.955	.002	-.409									1	0												
1008	"Ribeyro"			522	"Not seated"	"Not seated"	"IPAS"	"Not seated"	"Not Seated"	"Right"													.825	.778	.349	.96	.59456	-.0416192	-.791	.078	.96	.171	-.783																		1	0			
1009	"Ricou"	576			"Socialiste"	"Not seated"	"Not seated"	"Socialist"	"Not Seated"	"Not Seated"	.926	.674	-.739	.973	.4592088	-.8146416													-.136	-.823	.98	.082	-.123																						
1010	"Rieu"			523	"Not seated"	"Not seated"	"Communiste"	"Not seated"	"Not Seated"	"Communist"													.992	-.844	-.536	1	-1.208443	-.3879504	.766	0	1	.248	.826																						
1011	"Rigal A."	577			"Communiste"	"Not seated"	"Not seated"	"Communist"	"Not Seated"	"Not Seated"	.97	-.721	-.575	.997	-.856152	-.5085024													.616	-.094	.997	.436	.65																						
1012	"Rigal E."	578			"MRP"	"Not seated"	"Not seated"	"Right"	"Not Seated"	"Not Seated"	.827	.623	.193	.951	.5292576	.1193424													-.492	.019	.951	.013	-.481														1								
1013	"Rincent"	579	559	524	"Socialiste"	"Socialiste"	"Socialiste"	"Socialist"	"Socialist"	"Socialist"	.944	.698	-.716	.979	.4592088	-.8146416	.938	.251	.638	.997	-.627456	.2061404	.952	.276	.961	1	-.0252688	.6495568	-.149	-.79	.993	.008	-.127	0	2																				
1014	"Ritter"			525	"Not seated"	"Not seated"	"IPAS"	"Not seated"	"Not Seated"	"Right"													.802	.838	.193	.962	.4771344	-.2809296	-.068	.42	.955	.009	-.07																						
1015	"Ritzenthaler"		560		"Not seated"	"RPF, URAS, RS"	"Not seated"	"Not seated"	"Gaullist"	"Not Seated"							.838	.666	-.735	.939	.253536	-.1184211							-.056	.351	.958	.008	-.058							4	2														
1016	"Rivet"	580			"Socialiste"	"Not seated"	"Not seated"	"Socialist"	"Not Seated"	"Not Seated"	.59	.088	-.819	.904	-.4695864	-1.424326													.39	-.779	.904	.008	.397																						
1017	"Roca"	581	561	526	"Communiste"	"Communiste"	"Communiste"	"Communist"	"Communist"	"Communist"	.989	-.87	-.493	1	-1.027382	-.4358592	.965	-.943	-.333	1	-.997728	-.1787281	.967	-.68	-.733	1	-1.208443	-.5261856	.802	-.334	1	.014	.805																						
1018	"Rochet"	582	562	527	"Communiste"	"Communiste"	"Communiste"	"Communist"	"Communist"	"Communist"	.989	-.861	-.508	1	-1.027382	-.4358592	.965	-.943	-.333	1	-.997728	-.1787281	.992	-.841	-.541	1	-1.208443	-.3879504	.802	-.334	1	.01	.805																						
1019	"Roclore"	583		528	"Rep. Dem. Soc."	"Not seated"	"IPAS"	"Right"	"Not Seated"	"Right"	.82	.495	.459	.943	.4618032	.5136912							.835	.825	.227	.973	.5306448	-.156072	-.503	.19	.93	.006	-.515														0	0			1	2			
1020	"Rolland"		563	529	"Not seated"	"Ind. Paysan"	"Radical-Soc."	"Not seated"	"Right"	"Radical"							.872	.929	-.016	.975	.585504	-.0339912	.775	.58	.33	.927	.1382352	.4147056	-.48	.093	.9	.013	-.491									3	0										4	2	0
1021	"Rollin"	584	564		"PRL"	"Rep. Indep."	"Not seated"	"Right"	"Right"	"Not Seated"	.822	.407	.801	.976	.3995376	1.266067	.91	.861	.372	.992	.51072	-.0010965							-.441	.394	.981	.022	-.41										0				0	0							
1022	"Roquefor"			530	"Not seated"	"Not seated"	"Communiste"	"Not seated"	"Not Seated"	"Communist"													.992	-.84	-.542	1	-1.208443	-.3879504	.766	0	1	.252	.826																						
1023	"Roques"	585			"MRP"	"Not seated"	"Not seated"	"Christian Democrat"	"Not Seated"	"Not Seated"	.938	.813	.234	.997	.5811456	-.1634472													-.501	-.065	.994	.065	-.496											2	"not dissident"	0									
1024	"Rosenblatt"	586	565		"Communiste"	"Communiste"	"Not seated"	"Communist"	"Communist"	"Not Seated"	.989	-.87	-.493	1	-1.027382	-.4358592	.966	-.943	-.332	1	-.997728	-.1787281							.802	-.337	1	.014	.799																						
1025	"Roucaute"	587	566	531	"Communiste"	"Communiste"	"Communiste"	"Communist"	"Communist"	"Communist"	.989	-.861	-.508	1	-1.027382	-.4358592	.966	-.945	-.328	1	-.997728	-.1787281	.991	-.845	-.534	1	-1.208443	-.3879504	.802	-.334	1	.014	.805																						
1026	"Roucaute"	588		532	"Communiste"	"Not seated"	"Communiste"	"Communist"	"Not Seated"	"Communist"	.989	-.861	-.508	1	-1.027382	-.4358592							.992	-.844	-.537	1	-1.208443	-.5009168	.766	0	1	.328	.828																						
1027	"Rougier"	589	567		"Socialiste"	"Socialiste"	"Not seated"	"Socialist"	"Socialist"	"Not Seated"	.925	.643	-.659	.955	.4462368	-.7938864	.944	.263	.576	1	-.652992	.2083333							-.137	-.787	.983	.1	-.128																						
1028	"Roulon"	590			"PRL"	"Not seated"	"Not seated"	"Right"	"Not Seated"	"Not Seated"	.781	.368	.93	.937	.3658104	1.390598													-.46	.544	.947	.05	-.436														1	4							
1029	"Rousseau"	591	568	533	"PRL"	"RPF, URAS, RS"	"IPAS"	"Right"	"Gaullist"	"Right"	.822	.249	.969	.989	.0752376	1.860185	.777	.774	-.634	.939	.441408	-.2527412	.87	.961	.114	.979	.6659072	-.341872	-.136	.513	.962	.002	-.147														4	4			3	2			
1030	"Rousselot"		569		"Not seated"	"Ind. Paysan"	"Not seated"	"Not seated"	"Right"	"Not Seated"							.841	.875	-.091	.958	.767904	.0219298							-.242	.589	.961	.085	-.318									3	0												
1031	"Royratid"			521	"Not seated"	"Not seated"	"Communiste"	"Not seated"	"Not Seated"	"Communist"													.992	-.844	-.537	1	-1.208443	-.3879504	.766	0	1	.25	.826																						
1032	"Ruf"			534	"Not seated"	"Not seated"	"Uff (Poujade)"	"Not seated"	"Not Seated"	"Poujadist"													.947	.808	-.589	1	.1248576	-1.074667	.391	.645	.993	.168	.333																						
1033	"Ruffe"	592		535	"Communiste"	"Not seated"	"Communiste"	"Communist"	"Not Seated"	"Communist"	.989	-.861	-.508	1	-1.027382	-.4358592							.991	-.845	-.535	1	-1.208443	-.5009168	.766	0	1	.347	.828																						
1034	"Rumeau"	593		536	"Communiste"	"Not seated"	"Communiste"	"Communist"	"Not Seated"	"Communist"	.976	-.853	-.293	1	-1.027382	0							.992	-.839	-.544	1	-1.208443	-.5009168	.774	-.149	.998	.184	.791																						
1035	"Rzynaud J."	572			"Not seated"	"Not seated"	"Not seated"	"Not seated"	"Not Seated"	"Not Seated"																																													
1036	"Saanol"			537	"Not seated"	"Not seated"	"Radical-Soc."	"Not seated"	"Not Seated"	"Radical"													.86	.541	.555	.974	.0698608	.4147056	-.389	-.275	.967	.018	-.045																				3	"favor school aid"	0
1037	"Saiah"		570		"Not seated"	"Radical-Soc."	"Not seated"	"Not seated"	"Radical"	"Not Seated"							.774	.694	.672	.939	.399456	.2911184							-.915	-.254	.902	.062	-.614																						
1038	"Said Mohd."	594	571		"UDSR"	"UDSR"	"Not seated"	"Radical"	"Radical"	"Not Seated"	.726	.472	.058	.868	.570768	.2957616	.77	.658	.404	.927	.279072	.1485746							-.364	-.048	.875	.002	-.355					2	2										3	3					
1039	"Saint-Cyr."		572		"Not seated"	"Radical-Soc."	"Not seated"	"Not seated"	"Radical"	"Not Seated"							.812	.644	.765	.964	.388512	.314693							-.937	-.285	.928	.012	-.708					1	0																
1040	"Saitling"			552	"Not seated"	"Not seated"	"MRP"	"Not seated"	"Not Seated"	"Christian Democrat"													.838	.615	.602	.964	.312144	.2556608	-.587	-.122	.971	.093	-.561																						
1041	"Saivre"		573		"Not seated"	"Non Inscrit"	"Not seated"	"Not seated"	"Right"	"Not Seated"							.82	.931	-.19	.939	1.19472	-.0953947							-.284	.716	.949	.017	-.297									2	1												
1042	"Salliard"		574	538	"Not seated"	"Rep. Indep."	"IPAS"	"Not seated"	"Right"	"Right"							.88	.906	.082	.979	.51984	-.0115132	.849	.84	.202	.993	.5618592	-.170936	-.365	.383	.972	.015	-.338									3	0								1	2			
1043	"Salvelat"			539	"Not seated"	"Not seated"	"Uff (Poujade)"	"Not seated"	"Not Seated"	"Poujadist"													.946	.818	-.575	1	.1248576	-1.022643	.21	.524	.993	.002	.245																						
1044	"Samson"		575		"Not seated"	"RPF, URAS, RS"	"Not seated"	"Not seated"	"Gaullist"	"Not Seated"							.852	.808	-.589	.974	.450528	-.2532895							.01	.7	.977	.057	-.03																						
1045	"Sanago"		576		"Not seated"	"RPF, URAS, RS"	"Not seated"	"Not seated"	"Gaullist"	"Not Seated"							.743	.721	-.222	.883	.313728	-.1260965							-.076	.399	.883	.022	-.092																						
1046	"Sanglier"			540	"Not seated"	"Not seated"	"Rad. (Faure)"	"Not seated"	"Not Seated"	"Radical"													.785	.75	.226	.952	.5692912	.0713472	-.418	.19	.924	.141	-.865																						
1047	"Saravanc L"	595			"Non Inscrit"	"Not seated"	"Not seated"	"Non-Affiliated"	"Not Seated"	"Not Seated"	.672	.503	-.305	.885	-.0985872	-.8898792													-.464	-.569	.863	.05	-.094																						
1048	"Sauder"	596			"MRP"	"Not seated"	"Not seated"	"Christian Democrat"	"Not Seated"	"Not Seated"	.941	.856	.21	.997	.5811456	-.1634472													-.507	-.064	.994	.065	-.496											2	"not dissident"	0									
1049	"Sauer"	597	577	541	"Not seated"	"Communiste"	"Communiste"	"Not seated"	"Communist"	"Communist"							.966	-.945	-.328	1	-.997728	-.1787281	.991	-.845	-.535	1	-1.208443	-.3879504	.803	-.335	1	.014	.804																						
1050	"Sauvage"		578	542	"Not seated"	"MRP"	"MRP"	"Not seated"	"Christian Democrat"	"Christian Democrat"							.714	.783	.186	.935	.38304	.0175439	.867	.628	.636	.969	.3136304	.252688	-.518	-.045	.95	.032	-.502				1																		
1051	"Sauvajon"		579		"Not seated"	"MRP"	"Not seated"	"Not seated"	"Christian Democrat"	"Not Seated"							.805	.757	.432	.954	.384864	.0202851							-.501	-.061	.96	.039	-.511			2	2																		
1052	"Savale"		580		"Not seated"	"Radical-Soc."	"Not seated"	"Not seated"	"Radical"	"Not Seated"							.797	.689	.725	.954	.37392	.2779605							-.638	.026	.903	.258	-.736																						
1053	"Savard"	598		543	"Communiste"	"Not seated"	"Communiste"	"Communist"	"Not Seated"	"Communist"	.989	-.861	-.508	1	-1.027382	-.4358592							.992	-.845	-.535	1	-1.208443	-.3879504	.766	0	1	.347	.828																						
1054	"Savary"		581	544	"Not seated"	"Socialiste"	"Socialiste"	"Not seated"	"Socialist"	"Socialist"							.93	.24	.486	.997	-.589152	.1694079	.955	.337	.942	.993	-.03716	.5841552	-.108	-.772	.992	.032	-.112																						
1055	"Schaff"	599	582	545	"MRP"	"MRP"	"MRP"	"Christian Democrat"	"Christian Democrat"	"Christian Democrat"	.95	.863	.232	1	.5759568	-.1323144	.79	.748	.385	.956	.386688	.029057	.897	.617	.656	.978	.3136304	.2586336	-.518	-.032	.974	.024	-.505			1	2							2	"not dissident"	1									
1056	"Schauffler"	600			"PRL"	"Not seated"	"Not seated"	"Right"	"Not Seated"	"Not Seated"	.83	.15	.989	.993	-.0492936	1.49178													-.16	.537	.993	.07	-.161														4	4							
1057	"Scheider"			546	"Not seated"	"Not seated"	"Uff (Poujade)"	"Not seated"	"Not Seated"	"Poujadist"													.932	.807	-.59	.993	.14864	-1.028589	.21	.524	.985	.002	.245																						
1058	"Schell"	601			"Communiste"	"Not seated"	"Not seated"	"Communist"	"Not Seated"	"Not Seated"	.99	-.859	-.511	1	-1.027382	-.4358592													.587	0	1	.461	.654																						
1059	"Scherer"	602			"MRP"	"Not seated"	"Not seated"	"Christian Democrat"	"Not Seated"	"Not Seated"	.942	.85	.21	1	.5759568	-.168636													-.507	-.064	.997	.065	-.496											2	"not dissident"	0									
1060	"Schmid L"	603			"MRP"	"Not seated"	"Not seated"	"Christian Democrat"	"Not Seated"	"Not Seated"	.901	.686	.316	.988	.5941176	0													-.519	-.015	.985	.014	-.509											2	"not dissident"	1									
1061	"Schmitt A."	604	583	547	"MRP"	"MRP"	"MRP"	"Christian Democrat"	"Christian Democrat"	"Christian Democrat"	.929	.806	.239	.997	.5500128	-.1634472	.746	.741	.405	.938	.386688	.029057	.882	.626	.664	.962	.2853888	.2868752	-.518	-.032	.967	.016	-.501			0	2							2	"not dissident"	0									
1062	"Schmitt R."		584		"Not seated"	"Socialiste"	"Not seated"	"Not seated"	"Socialist"	"Not Seated"							.935	.255	.618	.997	-.627456	.2061404							-.194	-.749	.997	.165	-.174																						
1063	"Schmittlein"		585		"Not seated"	"RPF, URAS, RS"	"Not seated"	"Not seated"	"Gaullist"	"Not Seated"							.866	.636	-.771	.965	.186048	-.2220395							-.018	.361	.936	.028	-.014							1	1														
1064	"Schneite"			548	"Not seated"	"Not seated"	"MRP"	"Not seated"	"Not Seated"	"Christian Democrat"													.91	.611	.723	.978	.3017392	.274984	-.582	-.133	.985	.1	-.555																						
1065	"Schneiter"	606	586		"MRP"	"MRP"	"Not seated"	"Christian Democrat"	"Christian Democrat"	"Not Seated"	.945	.903	.222	.994	.58374	-.3191112	.824	.746	.478	.953	.384864	.0202851							-.526	-.077	.977	.025	-.531			2	3							2	"not dissident"	0									
1066	"Schuman"	607	587	549	"MRP"	"MRP"	"MRP"	"Christian Democrat"	"Christian Democrat"	"Christian Democrat"	.938	.928	.051	.993	.5915232	-.3813768	.854	.809	.587	.951	.424992	.0476974	.905	.614	.743	.978	.289848	.289848	-.533	-.03	.968	.005	-.534			3	3							2	"not dissident"	0									
1067	"Schumann"	608	588	550	"MRP"	"MRP"	"MRP"	"Christian Democrat"	"Christian Democrat"	"Christian Democrat"	.941	.858	.229	.997	.5811456	-.1634472	.836	.853	.522	.955	.454176	.0274123	.901	.596	.743	.977	.289848	.289848	-.523	-.026	.968	.004	-.532			3	3							2	"not dissident"	0									
1068	"Schwitt R."	605			"Socialiste"	"Not seated"	"Not seated"	"Socialist"	"Not Seated"	"Not Seated"	.95	.698	-.716	.982	.4592088	-.8146416													-.136	-.823	.988	.081	-.123																						
1069	"Secretain"		589		"Not seated"	"UDSR"	"Not seated"	"Not seated"	"Radical"	"Not Seated"							.819	.662	.63	.961	.288192	.1677632							-.74	-.382	.918	.022	-.631					1	1																
1070	"Segelle"	609	590	551	"Socialiste"	"Socialiste"	"Socialiste"	"Socialist"	"Socialist"	"Socialist"	.926	.682	-.607	.976	.4592088	-.8146416	.946	.244	.597	1	-.663936	.2044956	.951	.35	.937	1	.0089184	.6123968	-.135	-.735	.993	.019	-.11	1	1																				
1071	"Sekou To"			553	"Not seated"	"Not seated"	"UDSR"	"Not seated"	"Not Seated"	"Radical"													.806	.556	.273	.937	.0341872	.2616064	-.034	-.029	.919	.047	-.039																				3	"favor school aid"	0
1072	"Senghor"		591	554	"Not seated"	"Ind. Outremer"	"Ind. Outremer"	"Not seated"	"Right"	"Right"							.688	.674	.341	.875	.244416	.0921053	.712	.55	.252	.898	.2690384	.327008	-.529	-.103	.885	.014	-.427																						
1073	"Senshor"	610			"Socialiste"	"Not seated"	"Not seated"	"Socialist"	"Not Seated"	"Not Seated"	.823	.614	-.614	.966	.2957616	-1.224557													-.151	-1.003	.95	.03	-.089																						
1074	"Serafini"		592		"Not seated"	"RPF, URAS, RS"	"Not seated"	"Not seated"	"Gaullist"	"Not Seated"							.836	.677	-.736	.932	.217056	-.180921							-.035	.356	.949	.022	-.021							2	2														
1075	"Serre"	611			"MRP"	"Not seated"	"Not seated"	"Christian Democrat"	"Not Seated"	"Not Seated"	.47	.228	-.424	.729	-.2412792	-.557796													.242	-.808	.784	.013	.266											2	"not dissident"	0									
1076	"Servin"	612			"Communiste"	"Not seated"	"Not seated"	"Communist"	"Not Seated"	"Not Seated"	.989	-.861	-.508	1	-1.027382	-.4358592													.587	0	1	.464	.654																						
1077	"Sesmaisons"	613	593	555	"PRL"	"RPF, URAS, RS"	"IPAS"	"Right"	"Gaullist"	"Right"	.823	.332	.943	.982	.1842024	1.32055	.866	.81	-.586	.974	.443232	-.2730263	.827	.882	.126	.95	.5603728	-.2779568	-.127	.517	.954	.006	-.155														4	2			3	3			
1078	"Seynat"		594		"Not seated"	"RPF, URAS, RS"	"Not seated"	"Not seated"	"Gaullist"	"Not Seated"							.838	.663	-.749	.945	.213408	-.1962719							-.027	.364	.932	.014	-.033							3	1														
1079	"Sibue"		595		"Not seated"	"Socialiste"	"Not seated"	"Not seated"	"Socialist"	"Not Seated"							.934	.242	.54	1	-.660288	.1962719							-.092	-.799	1	.043	-.111																						
1080	"Sid Cara"		596		"Not seated"	"Radical-Soc."	"Not seated"	"Not seated"	"Radical"	"Not Seated"							.8	.677	.736	.986	.375744	.2730263							-.913	-.27	.914	.108	-.87					2	0																
1081	"Sidi el. Mok."		597	556	"Not seated"	"Non Inscrit"	"MRP"	"Not seated"	"Gaullist"	"Christian Democrat"							.765	.681	-.117	.901	.299136	.0942982	.817	.605	.565	.959	.2809296	.3002528	-.286	.133	.911	.022	-.276							4	2														
1082	"Siefridt"	614	598		"MRP"	"MRP"	"Not seated"	"Christian Democrat"	"Christian Democrat"	"Not Seated"	.938	.814	.248	1	.5759568	-.0726432	.787	.74	.419	.939	.384864	.0202851							-.517	-.088	.971	.018	-.506			2	2							2	"not dissident"	0									
1083	"Signor"	615	599		"Communiste"	"Communiste"	"Not seated"	"Communist"	"Communist"	"Not Seated"	.989	-.861	-.508	1	-1.027382	-.4358592	.965	-.943	-.333	1	-.997728	-.1787281							.802	-.337	1	.014	.799																						
1084	"Sigriet"	616			"MRP"	"Not seated"	"Not seated"	"Christian Democrat"	"Not Seated"	"Not Seated"	.933	.839	.214	.997	.5811456	-.1634472													-.507	-.064	.994	.065	-.496											2	"not dissident"	0									
1085	"Silvanndre"	617	600		"Socialiste"	"Socialiste"	"Not seated"	"Socialist"	"Socialist"	"Not Seated"	.931	.661	-.666	.976	.4592088	-.8250192	.923	.252	.614	.991	-.627456	.2061404							-.155	-.78	.985	.014	-.166																						
1086	"Simonnet"	618	601	557	"MRP"	"MRP"	"MRP"	"Christian Democrat"	"Christian Democrat"	"Christian Democrat"	.946	.863	.192	1	.5759568	-.168636	.8	.751	.435	.95	.384864	.0202851	.925	.608	.705	.986	.274984	.2809296	-.516	-.077	.981	.023	-.505			2	2							2	"not dissident"	0									
1087	"Sion"	619	602		"Socialiste"	"Socialiste"	"Not seated"	"Socialist"	"Socialist"	"Not Seated"	.95	.698	-.716	.982	.4592088	-.8146416	.946	.244	.626	1	-.663936	.216557							-.155	-.78	.994	.064	-.136																						
1088	"Sissoko"	620	603	558	"Non Inscrit"	"Socialiste"	"Socialiste"	"Non-Affiliated"	"Socialist"	"Socialist"	.941	.739	-.673	.977	.4592088	-.8250192	.922	.251	.593	.994	-.685824	.2105263	.885	.411	.911	.985	.0044592	.5930736	-.135	-.735	.985	.015	-.116																						
1089	"Smail"	621	604		"Musul, Ind."	"Radical-Soc."	"Not seated"	"Radical"	"Radical"	"Not Seated"	.795	.608	-.046	.906	.5110968	.1764192	.724	.693	.721	.912	.39216	.2960526							-.928	-.276	.888	.004	-.917					3	0										0	0					
1090	"Solinhac"	622	605		"MRP"	"MRP"	"Not seated"	"Christian Democrat"	"Christian Democrat"	"Not Seated"	.91	.764	.421	.987	.5785512	.0233496	.773	.742	.334	.932	.384864	.0213816							-.498	-.036	.957	.019	-.49			1	1							2	"not dissident"	1									
1091	"Sou"		606		"Not seated"	"RPF, URAS, RS"	"Not seated"	"Not seated"	"Gaullist"	"Not Seated"							.804	.653	-.681	.934	.20976	-.1211623							-.035	.343	.931	.024	-.043							1	2														
1092	"Soulie"			559	"Not seated"	"Not seated"	"Radical-Soc."	"Not seated"	"Not Seated"	"Radical"													.851	.517	.545	.962	.0876976	.423624	-.532	-.411	.969	.009	-.519																				4	"favor school aid"	0
1093	"Souques"		607	560	"Not seated"	"Radical-Soc."	"Not seated"	"Not seated"	"Radical"	"Not Seated"							.681	.603	.798	.879	.353856	.3355263	.697	.461	-.153	.934	-.1308032	-.007432	-.568	-.363	.797	.04	-.603					1	0														0		0
1094	"Sourbet"	623	608	561	"PRL"	"Ind. Paysan"	"IPAS"	"Right"	"Right"	"Right"	.806	.378	.775	.98	.3009504	1.133753	.85	.878	.165	.956	.598272	.03125	.83	.837	.152	.967	.5663184	-.2095824	-.387	.368	.955	.003	-.382									1	0								0	1			
1095	"Soury"			562	"Not seated"	"Not seated"	"Communiste"	"Not seated"	"Not Seated"	"Communist"													.992	-.84	-.542	1	-1.208443	-.3879504	.766	0	1	.248	.826																						
1096	"Soustelle"		609	563	"Not seated"	"RPF, URAS, RS"	"Rep. Soc."	"Not seated"	"Gaullist"	"Gaullist"							.853	.604	-.797	.965	.133152	-.189693	.697	.728	-.012	.874	.1679632	-.1724224	-.021	.349	.933	.01	-.01							1	0														
1097	"Southon"	624			"Not seated"	"Not seated"	"Not seated"	"Not seated"	"Not Seated"	"Not Seated"																																													
1098	"Sportisse"	625	610		"Communiste"	"Communiste"	"Not seated"	"Communist"	"Communist"	"Not Seated"	.989	-.861	-.508	1	-1.027382	-.0985872	.942	-.942	-.337	.997	-.990432	-.1770833							.813	-.346	.996	.011	.803																						
1099	"Streiff"	626			"Not seated"	"Not seated"	"Not seated"	"Not seated"	"Not Seated"	"Not Seated"																																													
1100	"Taillade"	627	611		"MRP"	"MRP"	"Not seated"	"Christian Democrat"	"Christian Democrat"	"Not Seated"	.911	.741	.357	.988	.5941176	0	.793	.752	.429	.944	.384864	.0202851							-.487	-.048	.966	.019	-.49			2	3							2	"not dissident"	1									
1101	"Tamarell"			564	"Not seated"	"Not seated"	"Uff (Poujade)"	"Not seated"	"Not Seated"	"Poujadist"													.947	.814	-.58	1	.1248576	-1.022643	.21	.524	.993	.002	.245																						
1102	"Tardieu"			565	"Not seated"	"Not seated"	"Not seated"	"Not seated"	"Not Seated"	"Not Seated"													.848	.867	.154	.957	.5841552	-.2021504	-.338	.303	.957	.187	-.305																						
