MID	NAME	ID1	ID2	ID3	PARTY1	PARTY2	PARTY3	PARTY1N	PARTY2N	PARTY3N	GMP12	X12	Y12	CLA12_O	X12_O	Y12_O	GMP22	X22	Y22	CLA22_O	X22_O	Y22_O	GMP32	X32	Y32	CLA32_O	X32_O	Y32_O	DIM1PL	DIM2PL	CLA_PO	X_PO	Y_PO	SCAL7121	SCAL7122	SCAL7111	SCAL7112	SCALE781	SCALE782	SCALE751	SCALE752	SCALE741	SCALE742	SCA7101	SCA7102	SCA7103	SCA731	SCA732	SCA771	SCA772	SCA761	SCA762	SCA791	SCA792	MORICE
197	"Camphin"	120	103		"Communiste"	"Communiste"	"Not seated"	"Communist"	"Communist"	"Not Seated"	.989	-.87	-.493	1	-1.027382	-.4358592	.954	-.952	-.308	.995	-1.03056	-.1765351							.813	-.346	.998	.012	.8																						
198	"Cance"	121		101	"Communiste"	"Not seated"	"Communiste"	"Communist"	"Not Seated"	"Communist"	.989	-.861	-.508	1	-1.027382	-.4358592							.991	-.845	-.534	1	-1.208443	-.5009168	.766	0	1	.347	.828																						
199	"Capdeville"	122	104		"Socialiste"	"Socialiste"	"Not seated"	"Socialist"	"Socialist"	"Not Seated"	.934	.672	-.74	.979	.4592088	-.8146416	.929	.24	.496	.997	-.589152	.1694079							-.129	-.768	.986	.051	-.111																						
200	"Capitant"	123			"UDSR"	"Not seated"	"Not seated"	"Radical"	"Not Seated"	"Not Seated"	.806	.177	.846	.985	-.1764192	1.429514													-.067	.505	.978	.028	-.092																3	3					
201	"Carat J."			242	"Not seated"	"Not seated"	"Socialiste"	"Not seated"	"Not Seated"	"Socialist"													.952	.356	.935	1	0	.5767232	-.147	-.719	1	.116	-.086																						
202	"Carlini"		105		"Not seated"	"RPF, URAS, RS"	"Not seated"	"Not seated"	"Gaullist"	"Not Seated"							.833	.649	-.761	.943	.165984	-.2368421							-.018	.356	.915	.029	-.01							0	0														
203	"Carmeau"			111	"Not seated"	"Not seated"	"Not seated"	"Not seated"	"Not Seated"	"Not Seated"																																													
204	"Caron"	124			"MRP"	"Not seated"	"Not seated"	"Christian Democrat"	"Not Seated"	"Not Seated"	.863	.63	.426	.958	.570768	.0752376													-.521	.002	.958	.01	-.528											2	"not dissident"	1									
205	"Cartier G."	125	106	102	"MRP"	"MRP"	"MRP"	"Christian Democrat"	"Christian Democrat"	"Christian Democrat"	.905	.814	.18	.994	.5811456	-.1634472	.785	.749	.404	.947	.384864	.0202851	.912	.61	.739	.979	.2957936	.282416	-.516	-.077	.975	.022	-.506			2	3							2	"not dissident"	0									
206	"Cartier M'el"	126		103	"Socialiste"	"Not seated"	"Socialiste"	"Socialist"	"Not Seated"	"Socialist"	.947	.696	-.718	.984	.4592088	-.8146416							.955	.281	.96	1	-.0549968	.661448	-.1	-.788	.994	.033	-.116																						
207	"Cartier M'us"	127		104	"Communiste"	"Not seated"	"Communiste"	"Communist"	"Not Seated"	"Communist"	.955	-.609	-.439	.994	-.856152	-.5085024							.992	-.833	-.553	1	-1.208443	-.3879504	.774	-.149	.996	.181	.791																						
208	"Cartier M."		107		"Not seated"	"Socialiste"	"Not seated"	"Not seated"	"Socialist"	"Not Seated"							.926	.242	.429	.994	-.589152	.1694079							-.117	-.755	.991	.08	-.109	0	1																				
